2025-01-14 14:34:08.910 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 14:34:08.980 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 31724 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 14:34:08.982 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 14:34:10.467 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 14:34:10.639 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 155 ms. Found 2 JPA repository interfaces.
2025-01-14 14:34:11.551 [main] INFO  [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 14:34:11.691 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-01-14 14:34:11.789 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-14 14:34:12.426 [main] INFO  [] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 14:34:12.482 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-14 14:34:12.693 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@793cef95
2025-01-14 14:34:12.696 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-14 14:34:14.376 [main] INFO  [] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 14:34:14.553 [main] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:34:16.903 [main] INFO  [] com.bantanger.test.ApiTest - Started ApiTest in 9.241 seconds (process running for 10.867)
2025-01-14 14:34:18.221 [SpringApplicationShutdownHook] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 14:34:18.224 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-01-14 14:34:18.261 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-01-14 18:29:26.017 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 18:29:26.111 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 21888 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 18:29:26.113 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 18:29:28.260 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 18:29:28.615 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 323 ms. Found 2 JPA repository interfaces.
2025-01-14 18:29:30.116 [main] INFO  [] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 18:29:30.289 [main] INFO  [] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-01-14 18:29:30.410 [main] INFO  [] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-01-14 18:29:31.297 [main] INFO  [] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 18:29:31.385 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-01-14 18:29:31.745 [main] INFO  [] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@77b71c9
2025-01-14 18:29:31.748 [main] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-01-14 18:29:34.536 [main] INFO  [] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 18:29:34.641 [main] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 18:29:38.116 [main] INFO  [] com.bantanger.test.ApiTest - Started ApiTest in 13.862 seconds (process running for 16.217)
2025-01-14 18:29:40.047 [SpringApplicationShutdownHook] INFO  [] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 18:29:40.051 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-01-14 18:29:40.094 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-01-14 18:33:20.314 [background-preinit] INFO  [] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-01-14 18:33:20.384 [main] INFO  [] com.bantanger.test.ApiTest - Starting ApiTest using Java 17.0.13 with PID 33684 (started by 12902 in E:\JavaProjectManager\Persevere\bt-system-center\bt-system-center-app)
2025-01-14 18:33:20.387 [main] INFO  [] com.bantanger.test.ApiTest - The following 1 profile is active: "dev"
2025-01-14 18:33:23.752 [main] INFO  [] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
